
Command:
Command: IIS2MDC Calibrate





















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW
16------------4

Mag X: -70.50
Mag Y: 268.50
Mag Z: 117.00


Mag X: -69.00
Mag Y: 282.00
Mag Z: 114.00


Mag X: -70.50
Mag Y: 264.00
Mag Z: 130.50


Mag X: -73.50
Mag Y: 262.50
Mag Z: 148.50


Mag X: -70.50
Mag Y: 267.00
Mag Z: 136.50


Mag X: -79.50
Mag Y: 270.00
Mag Z: 144.00


Mag X: -69.00
Mag Y: 280.50
Mag Z: 151.50


Mag X: -67.50
Mag Y: 267.00
Mag Z: 160.50


Mag X: -63.00


Mag X: -61.50
Mag Y: 276.00
Mag Z: 160.50


Mag X: -61.50
Mag Y: 276.00
Mag Z: 163.50


Mag X: -66.00
Mag Y: 267.00
Mag Z: 165.00


Mag X: -61.50
Mag Y: 268.50
Mag Z: 165.00


Mag X: -73.50


Mag X: -58.50
Mag Y: 262.50
Mag Z: 163.50


Mag X: -64.50
Mag Y: 270.00
Mag Z: 160.50


Mag X: -63.00
Mag Y: 274.50
Mag Z: 160.50


Mag X: -67.50
Mag Y: 262.50
Mag Z: 162.00


Mag X: -66.00
Mag Y: 276.00
Mag Z: 159.00


Mag X: -64.50
Mag Y: 267.00
Mag Z: 160.50


Mag X: -63.00
Mag Y: 259.50
Mag Z: 166.50


Mag X: -69.00
Mag Y: 276.00
Mag Z: 154.50


Mag X: -66.00
Mag Y: 270.00
Mag Z: 159.00


Mag X: -70.50
Mag Y: 264.00
Mag Z: 165.00


Mag X: -66.00
Mag Y: 274.50
Mag Z: 162.00


Mag X: -64.50
Mag Y: 276.00
Mag Z: 165.00


Mag X: -67.50
Mag Y: 261.00
Mag Z: 159.00


Mag X: -64.50
Mag Y: 270.00
Mag Z: 159.00


Mag X: -63.00
Mag Y: 271.50
Mag Z: 148.50


Mag X: -66.00
Mag Y: 267.00
Mag Z: 153.00


Mag X: -67.50
Mag Y: 271.50
Mag Z: 151.50


Mag X: -69.00
Mag Y: 276.00
Mag Z: 151.50


Mag X: -66.00
Mag Y: 265.50
Mag Z: 154.50


Mag X: -67.50
Mag Y: 276.00
Mag Z: 154.50


Mag X: -70.50
Mag Y: 271.50
Mag Z: 162.00


Mag X: -69.00
Mag Y: 267.00
Mag Z: 174.00


Mag X: -66.00
Mag Y: 268.50
Mag Z: 166.50


Mag X: -63.00
Mag Y: 270.00
Mag Z: 157.50


Mag X: -66.00
Mag Y: 268.50
Mag Z: 163.50


Mag X: -61.50
Mag Y: 268.50
Mag Z: 156.00


Mag X: -69.00
Mag Y: 267.00
Mag Z: 159.00


Mag X: -58.50
Mag Y: 261.00
Mag Z: 166.50


Mag X: -67.50
Mag Y: 265.50
Mag Z: 156.00


Mag X: -75.00
Mag Y: 270.00
Mag Z: 162.00


Mag X: -64.50
Mag Y: 261.00
Mag Z: 154.50


Mag X: -63.00
Mag Y: 271.50
Mag Z: 159.00


Mag X: -69.00
Mag Y: 268.50
Mag Z: 151.50


Mag X: -69.00
Mag Y: 262.50
Mag Z: 154.50


Mag X: -67.50
Mag Y: 279.00
Mag Z: 163.50


Mag X: -66.00
Mag Y: 268.50
Mag Z: 153.00


Mag X: -67.50
Mag Y: 270.00
Mag Z: 163.50


Mag X: -76.50
Mag Y: 274.50
Mag Z: 153.00


Mag X: -66.00
Mag Y: 276.00
Mag Z: 159.00

Command: X Max: 73.000000, X Min: -109.000000, Y Max: 180.000000, Y Min: -88.000000IIS2MDC Calibration Stop
X Calibration Offset: 18.000
Y Calibration Offset: -46.000




















