Mag X	Mag Y	Mag Z			
-196.5	651	67.5		80.5	376.5
-193.5	654	66		83.5	375
-199.5	655.5	55.5		77.5	364.5
-198	654	67.5		79	376.5
-195	657	66		82	375
-196.5	649.5	60		80.5	369
-201	645	61.5		76	370.5
-204	648	57		73	366
-190.5	657	64.5		86.5	373.5
-187.5	658.5	64.5		89.5	373.5
-198	643.5	57		79	366
-201	648	61.5		76	370.5
-202.5	658.5	46.5		74.5	355.5
-198	646.5	42		79	351
-198	658.5	45		79	354
-199.5	648	40.5		77.5	349.5
-199.5	655.5	46.5		77.5	355.5
