Bad GPS CRC

Command:
Command: IIS2MDC Calibrate




















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW


Mag Y: 754.50
Mag Z: 982.50


Mag X: 225.00
Mag Y: 759.00
Mag Z: 991.50


Mag X: 222.00
Mag Y: 756.00
Mag Z: 987.00


Mag X: 228.00
Mag Y: 757.50
Mag Z: 993.00


Mag X: 222.00


Mag X: 226.50
Mag Y: 757.50
Mag Z: 988.50


Mag X: 225.00
Mag Y: 754.50
Mag Z: 984.00


Mag X: 220.50
Mag Y: 759.00
Mag Z: 984.00


Mag X: 223.50
Mag Y: 759.00
Mag Z: 987.00


Mag X: 222.00
Mag Y: 760.50
Mag Z: 984.00


Mag X: 222.00
Mag Y: 759.00
Mag Z: 985.50


Mag X: 226.50
Mag Y: 760.50
Mag Z: 987.00


Mag X: 220.50
Mag Y: 759.00
Mag Z: 985.50


Mag X: 217.50
Mag Y: 756.00
Mag Z: 984.00


Mag X: 222.00
Mag Y: 745.50
Mag Z: 985.50


Mag X: 219.00
Mag Y: 753.00
Mag Z: 987.00


Mag X: 229.50
Mag Y: 760.50
Mag Z: 982.50


Mag X: 226.50
Mag Y: 762.00
Mag Z: 987.00


Mag X: 223.50
Mag Y: 753.00
Mag Z: 988.50


Mag X: 225.00
Mag Y: 757.50
Mag Z: 987.00


Mag X: 219.00
Mag Y: 760.50
Mag Z: 982.50


Mag X: 223.50
Mag Y: 757.50
Mag Z: 981.00


Mag X: 220.50
Mag Y: 759.00
Mag Z: 981.00


Mag X: 225.00
Mag Y: 766.50
Mag Z: 988.50


Mag X: 223.50
Mag Y: 759.00
Mag Z: 985.50


Mag X: 220.50
Mag Y: 762.00
Mag Z: 988.50


Mag X: 225.00
Mag Y: 760.50
Mag Z: 981.00


Mag X: 226.50
Mag Y: 751.50
Mag Z: 987.00


Mag X: 225.00
Mag Y: 756.00
Mag Z: 984.00


Mag X: 217.50
Mag Y: 757.50
Mag Z: 984.00


Mag X: 223.50
Mag Y: 756.00

Mag X: 220.50
Mag Y: 762.00
Mag Z: 984.00


Mag X: 220.50
Mag Y: 760.50
Mag Z: 987.00


Mag X: 216.00
Mag Y: 756.00
Mag Z: 985.50


Mag X: 226.50
Mag Y: 750.00
Mag Z: 988.50


Mag X: 222.00
Mag Y: 756.00
Mag Z: 987.00


Mag X: 222.00
Mag Y: 757.50


Mag X: 207.00
Mag Z: 885.00


Mag X: 189.00
Mag Y: 762.00
Mag Z: 852.00


Mag X: 189.00


Mag X: 169.50
Mag Y: 757.50
Mag Z: 759.00


Mag X: 145.50
Mag Y: 756.00
Mag Z: 717.00


Mag X: 129.00
Mag Y: 762.00
Mag Z: 673.50


Mag X: 90.00
Mag Y: 762.00
Mag Z: 628.50


Mag X: 64.50
Mag Y: 762.00
Mag Z: 586.50


Mag X: 25.50
Mag Y: 766.50
Mag Z: 543.00


Mag X: 0.00
Mag Y: 772.50
Mag Z: 537.00


Mag X: -18.00
Mag Y: 771.00
Mag Z: 534.00


Mag X: -15.00
Mag Y: 760.50
Mag Z: 525.00


Mag X: -12.00
Mag Y: 768.00
Mag Z: 531.00


Mag X: -15.00
Mag Y: 771.00
Mag Z: 528.00


Mag X: -12.00
Mag Y: 769.50
Mag Z: 526.50


Mag X: -7.50
Mag Y: 769.50
Mag Z: 532.50


Mag X: -1.50
Mag Y: 768.00
Mag Z: 526.50


Mag X: 0.00
Mag Y: 771.00
Mag Z: 531.00


Mag X: -9.00
Mag Y: 765.00
Mag Z: 528.00


Mag X: -4.50
Mag Z: 525.00


Mag X: -3.00
Mag Z: 526.50


Mag X: -6.00
Mag Y: 772.50
Mag Z: 531.00


Mag X: -4.50
Mag Z: 531.00


Mag X: -7.50
Mag Y: 774.00
Mag Z: 534.00


Mag X: -1.50
Mag Z: 526.50


Mag X: -3.00
Mag Y: 769.50
Mag Z: 531.00


Mag X: -1.50
Mag Y: 771.00
Mag Z: 534.00


Mag X: -4.50
Mag Y: 775.50
Mag Z: 535.50


Mag X: -3.00

Command: X Max: 234.000000, X Min: -103.000000, Y Max: 1260.000000, Y Min: 525.000000
X Calibration Offset: -65.500
Y Calibration Offset: -892.500




















